,Date,2019_dailyCrime,2020_dailyCrime
264,02-20,93,83.0
265,02-21,133,69.0
266,02-22,107,77.0
267,02-23,79,102.0
268,02-24,93,95.0
269,02-25,107,108.0
270,02-26,142,106.0
271,02-27,97,81.0
272,02-28,127,58.0
273,03-01,129,101.0
274,03-02,83,127.0
275,03-03,187,101.0
276,03-04,143,104.0
277,03-05,105,103.0
278,03-06,101,93.0
279,03-07,134,81.0
280,03-08,103,96.0
281,03-09,107,140.0
282,03-10,72,104.0
283,03-11,111,130.0
284,03-12,97,106.0
285,03-13,121,90.0
286,03-14,134,65.0
287,03-15,99,95.0
288,03-16,93,84.0
289,03-17,94,93.0
290,03-18,122,108.0
291,03-19,106,90.0
292,03-20,132,105.0
293,03-21,124,74.0
294,03-22,129,114.0
295,03-23,88,95.0
296,03-24,69,100.0
297,03-25,99,117.0
298,03-26,118,99.0
299,03-27,122,75.0
300,03-28,119,79.0
301,03-29,124,80.0
302,03-30,110,98.0
303,03-31,86,80.0
304,04-01,103,91.0
305,04-02,136,99.0
306,04-03,113,107.0
307,04-04,125,85.0
308,04-05,106,95.0
309,04-06,104,87.0
310,04-07,91,102.0
311,04-08,99,103.0
312,04-09,140,115.0
313,04-10,143,102.0
314,04-11,169,74.0
315,04-12,115,80.0
316,04-13,105,105.0
317,04-14,80,92.0
318,04-15,82,72.0
319,04-16,122,76.0
320,04-17,121,95.0
321,04-18,115,86.0
322,04-19,97,87.0
323,04-20,101,79.0
324,04-21,83,83.0
325,04-22,95,82.0
326,04-23,106,82.0
327,04-24,131,136.0
328,04-25,141,102.0
329,04-26,98,84.0
330,04-27,106,103.0
331,04-28,63,106.0
332,04-29,104,102.0
333,04-30,102,107.0
334,05-01,124,115.0
335,05-02,127,83.0
336,05-03,103,81.0
337,05-04,76,93.0
338,05-05,94,89.0
339,05-06,110,107.0
340,05-07,82,85.0
341,05-08,110,86.0
342,05-09,113,96.0
343,05-10,105,108.0
344,05-11,88,69.0
345,05-12,69,105.0
346,05-13,98,97.0
347,05-14,94,80.0
348,05-15,128,90.0
349,05-16,136,88.0
350,05-17,117,77.0
351,05-18,105,18.0
352,05-19,89,1.0
353,05-20,119,0.0
354,05-21,119,0.0
355,05-22,147,0.0
356,05-23,122,0.0
357,05-24,146,0.0
358,05-25,80,0.0
359,05-26,76,0.0
360,05-27,84,0.0
361,05-28,113,0.0
362,05-29,105,0.0
363,05-30,124,0.0
364,05-31,125,0.0
