,Date,Case_Number,Daily Confirmed Cases
186,2020-12-04,107.0,0.0
187,2020-12-05,91.0,0.0
188,2020-12-06,83.0,486.0
189,2020-12-07,94.0,102.0
190,2020-12-08,292.0,129.0
191,2020-12-09,99.0,153.0
192,2020-12-10,103.0,133.0
193,2020-12-11,105.0,0.0
194,2020-12-12,94.0,0.0
195,2020-12-13,98.0,425.0
196,2020-12-14,88.0,80.0
197,2020-12-15,104.0,165.0
198,2020-12-16,218.0,120.0
199,2020-12-17,79.0,136.0
200,2020-12-18,115.0,0.0
201,2020-12-19,84.0,0.0
202,2020-12-20,77.0,280.0
203,2020-12-21,94.0,47.0
204,2020-12-22,77.0,70.0
205,2020-12-23,86.0,93.0
206,2020-12-24,80.0,0.0
207,2020-12-25,84.0,0.0
208,2020-12-26,85.0,0.0
209,2020-12-27,79.0,477.0
210,2020-12-28,89.0,27.0
211,2020-12-29,94.0,102.0
212,2020-12-30,78.0,71.0
213,2020-12-31,82.0,0.0
214,2021-01-01,94.0,192.0
215,2021-01-02,71.0,0.0
216,2021-01-03,79.0,190.0
217,2021-01-04,78.0,111.0
218,2021-01-05,82.0,111.0
219,2021-01-06,80.0,119.0
220,2021-01-07,75.0,200.0
221,2021-01-08,89.0,0.0
222,2021-01-09,92.0,0.0
223,2021-01-10,85.0,285.0
224,2021-01-11,82.0,178.0
225,2021-01-12,104.0,114.0
226,2021-01-13,92.0,37.0
227,2021-01-14,105.0,56.0
228,2021-01-15,95.0,0.0
229,2021-01-16,78.0,0.0
230,2021-01-17,77.0,293.0
231,2021-01-18,80.0,89.0
232,2021-01-19,92.0,57.0
233,2021-01-20,97.0,74.0
234,2021-01-21,114.0,78.0
235,2021-01-22,84.0,0.0
236,2021-01-23,91.0,0.0
237,2021-01-24,60.0,252.0
238,2021-01-25,110.0,58.0
239,2021-01-26,99.0,91.0
240,2021-01-27,87.0,51.0
241,2021-01-28,116.0,41.0
242,2021-01-29,79.0,0.0
243,2021-01-30,91.0,0.0
244,2021-01-31,65.0,149.0
245,2021-02-01,269.0,64.0
246,2021-02-02,83.0,9.0
247,2021-02-03,87.0,36.0
248,2021-02-04,118.0,61.0
249,2021-02-05,114.0,0.0
250,2021-02-06,77.0,0.0
251,2021-02-07,66.0,168.0
252,2021-02-08,90.0,23.0
253,2021-02-09,194.0,41.0
254,2021-02-10,162.0,49.0
255,2021-02-11,108.0,42.0
256,2021-02-12,87.0,0.0
257,2021-02-13,71.0,0.0
258,2021-02-14,62.0,105.0
259,2021-02-15,55.0,18.0
260,2021-02-16,73.0,14.0
261,2021-02-17,103.0,13.0
262,2021-02-18,97.0,42.0
263,2021-02-19,86.0,0.0
264,2021-02-20,83.0,0.0
265,2021-02-21,69.0,114.0
266,2021-02-22,77.0,15.0
267,2021-02-23,102.0,31.0
268,2021-02-24,95.0,21.0
269,2021-02-25,108.0,23.0
270,2021-02-26,106.0,0.0
271,2021-02-27,81.0,0.0
272,2021-02-28,58.0,85.0
273,2021-03-01,101.0,10.0
274,2021-03-02,127.0,6.0
275,2021-03-03,101.0,32.0
276,2021-03-04,104.0,21.0
277,2021-03-05,103.0,0.0
278,2021-03-06,93.0,0.0
279,2021-03-07,81.0,49.0
280,2021-03-08,96.0,9.0
281,2021-03-09,140.0,6.0
282,2021-03-10,104.0,18.0
283,2021-03-11,130.0,26.0
284,2021-03-12,106.0,0.0
285,2021-03-13,90.0,0.0
286,2021-03-14,65.0,52.0
287,2021-03-15,95.0,12.0
288,2021-03-16,84.0,3.0
289,2021-03-17,93.0,21.0
290,2021-03-18,108.0,33.0
291,2021-03-19,90.0,0.0
292,2021-03-20,105.0,0.0
293,2021-03-21,74.0,66.0
294,2021-03-22,114.0,23.0
295,2021-03-23,95.0,11.0
296,2021-03-24,100.0,27.0
297,2021-03-25,117.0,36.0
298,2021-03-26,99.0,0.0
299,2021-03-27,75.0,0.0
300,2021-03-28,79.0,73.0
301,2021-03-29,80.0,42.0
302,2021-03-30,98.0,31.0
303,2021-03-31,80.0,22.0
304,2021-04-01,91.0,43.0
305,2021-04-02,99.0,0.0
306,2021-04-03,107.0,0.0
307,2021-04-04,85.0,69.0
308,2021-04-05,95.0,33.0
309,2021-04-06,87.0,23.0
310,2021-04-07,102.0,21.0
311,2021-04-08,103.0,62.0
312,2021-04-09,115.0,0.0
313,2021-04-10,102.0,0.0
314,2021-04-11,74.0,101.0
315,2021-04-12,80.0,10.0
316,2021-04-13,105.0,70.0
317,2021-04-14,92.0,13.0
318,2021-04-15,72.0,42.0
319,2021-04-16,76.0,0.0
320,2021-04-17,95.0,0.0
321,2021-04-18,86.0,96.0
322,2021-04-19,87.0,16.0
323,2021-04-20,79.0,27.0
324,2021-04-21,83.0,31.0
325,2021-04-22,82.0,41.0
326,2021-04-23,82.0,0.0
327,2021-04-24,136.0,0.0
328,2021-04-25,102.0,83.0
329,2021-04-26,84.0,15.0
330,2021-04-27,103.0,33.0
331,2021-04-28,106.0,33.0
332,2021-04-29,102.0,48.0
333,2021-04-30,107.0,0.0
334,2021-05-01,115.0,0.0
